21 milliseconds with blockDim: {1024,1,1}, gridDim: {1024,1,1}: 
21 milliseconds with blockDim: {1024,1,1}, gridDim: {512,1,1}: 
21 milliseconds with blockDim: {512,1,1}, gridDim: {1024,1,1}: 
22 milliseconds with blockDim: {1024,1,1}, gridDim: {256,1,1}: 
22 milliseconds with blockDim: {128,1,1}, gridDim: {1024,1,1}: 
22 milliseconds with blockDim: {256,1,1}, gridDim: {1024,1,1}: 
22 milliseconds with blockDim: {256,1,1}, gridDim: {512,1,1}: 
22 milliseconds with blockDim: {512,1,1}, gridDim: {512,1,1}: 
23 milliseconds with blockDim: {1024,1,1}, gridDim: {128,1,1}: 
23 milliseconds with blockDim: {128,1,1}, gridDim: {128,1,1}: 
23 milliseconds with blockDim: {256,1,1}, gridDim: {64,1,1}: 
23 milliseconds with blockDim: {512,1,1}, gridDim: {256,1,1}: 
24 milliseconds with blockDim: {1024,1,1}, gridDim: {16,1,1}: 
24 milliseconds with blockDim: {1024,1,1}, gridDim: {64,1,1}: 
24 milliseconds with blockDim: {128,1,1}, gridDim: {512,1,1}: 
24 milliseconds with blockDim: {256,1,1}, gridDim: {256,1,1}: 
24 milliseconds with blockDim: {512,1,1}, gridDim: {128,1,1}: 
24 milliseconds with blockDim: {512,1,1}, gridDim: {32,1,1}: 
24 milliseconds with blockDim: {64,1,1}, gridDim: {1024,1,1}: 
24 milliseconds with blockDim: {64,1,1}, gridDim: {256,1,1}: 
27 milliseconds with blockDim: {1024,1,1}, gridDim: {32,1,1}: 
27 milliseconds with blockDim: {128,1,1}, gridDim: {256,1,1}: 
27 milliseconds with blockDim: {256,1,1}, gridDim: {128,1,1}: 
27 milliseconds with blockDim: {32,1,1}, gridDim: {1024,1,1}: 
27 milliseconds with blockDim: {512,1,1}, gridDim: {64,1,1}: 
27 milliseconds with blockDim: {64,1,1}, gridDim: {512,1,1}: 
29 milliseconds with blockDim: {128,1,1}, gridDim: {64,1,1}: 
