4 milliseconds with dimensions:blockDim: {1024,1,1}, gridDim: {1024,1,1}: 
4 milliseconds with dimensions:blockDim: {1024,1,1}, gridDim: {128,1,1}: 
4 milliseconds with dimensions:blockDim: {1024,1,1}, gridDim: {16,1,1}: 
4 milliseconds with dimensions:blockDim: {1024,1,1}, gridDim: {256,1,1}: 
4 milliseconds with dimensions:blockDim: {1024,1,1}, gridDim: {32,1,1}: 
4 milliseconds with dimensions:blockDim: {1024,1,1}, gridDim: {512,1,1}: 
4 milliseconds with dimensions:blockDim: {1024,1,1}, gridDim: {64,1,1}: 
4 milliseconds with dimensions:blockDim: {128,1,1}, gridDim: {1024,1,1}: 
4 milliseconds with dimensions:blockDim: {128,1,1}, gridDim: {128,1,1}: 
4 milliseconds with dimensions:blockDim: {128,1,1}, gridDim: {256,1,1}: 
4 milliseconds with dimensions:blockDim: {128,1,1}, gridDim: {512,1,1}: 
4 milliseconds with dimensions:blockDim: {256,1,1}, gridDim: {1024,1,1}: 
4 milliseconds with dimensions:blockDim: {256,1,1}, gridDim: {128,1,1}: 
4 milliseconds with dimensions:blockDim: {256,1,1}, gridDim: {256,1,1}: 
4 milliseconds with dimensions:blockDim: {256,1,1}, gridDim: {512,1,1}: 
4 milliseconds with dimensions:blockDim: {256,1,1}, gridDim: {64,1,1}: 
4 milliseconds with dimensions:blockDim: {512,1,1}, gridDim: {1024,1,1}: 
4 milliseconds with dimensions:blockDim: {512,1,1}, gridDim: {128,1,1}: 
4 milliseconds with dimensions:blockDim: {512,1,1}, gridDim: {256,1,1}: 
4 milliseconds with dimensions:blockDim: {512,1,1}, gridDim: {32,1,1}: 
4 milliseconds with dimensions:blockDim: {512,1,1}, gridDim: {512,1,1}: 
4 milliseconds with dimensions:blockDim: {512,1,1}, gridDim: {64,1,1}: 
4 milliseconds with dimensions:blockDim: {64,1,1}, gridDim: {1024,1,1}: 
4 milliseconds with dimensions:blockDim: {64,1,1}, gridDim: {256,1,1}: 
4 milliseconds with dimensions:blockDim: {64,1,1}, gridDim: {512,1,1}: 
5 milliseconds with dimensions:blockDim: {1024,1,1}, gridDim: {8,1,1}: 
5 milliseconds with dimensions:blockDim: {128,1,1}, gridDim: {64,1,1}: 
5 milliseconds with dimensions:blockDim: {256,1,1}, gridDim: {32,1,1}: 
5 milliseconds with dimensions:blockDim: {32,1,1}, gridDim: {1024,1,1}: 
5 milliseconds with dimensions:blockDim: {32,1,1}, gridDim: {256,1,1}: 
5 milliseconds with dimensions:blockDim: {32,1,1}, gridDim: {512,1,1}: 
5 milliseconds with dimensions:blockDim: {512,1,1}, gridDim: {16,1,1}: 
5 milliseconds with dimensions:blockDim: {64,1,1}, gridDim: {128,1,1}: 
8 milliseconds with dimensions:blockDim: {128,1,1}, gridDim: {32,1,1}: 
