1934 milliseconds on cpu:
27183326 nanoseconds with blockDim: {1,1,1}, gridDim: {1,1,1}: 
216507 nanoseconds with blockDim: {1,1,1}, gridDim: {2,1,1}: 
160308 nanoseconds with blockDim: {1,1,1}, gridDim: {4,1,1}: 
135589 nanoseconds with blockDim: {1,1,1}, gridDim: {8,1,1}: 
123969 nanoseconds with blockDim: {1,1,1}, gridDim: {16,1,1}: 
116961 nanoseconds with blockDim: {1,1,1}, gridDim: {32,1,1}: 
113717 nanoseconds with blockDim: {1,1,1}, gridDim: {64,1,1}: 
113237 nanoseconds with blockDim: {1,1,1}, gridDim: {128,1,1}: 
111966 nanoseconds with blockDim: {1,1,1}, gridDim: {256,1,1}: 
112206 nanoseconds with blockDim: {1,1,1}, gridDim: {512,1,1}: 
112524 nanoseconds with blockDim: {1,1,1}, gridDim: {1024,1,1}: 
202616 nanoseconds with blockDim: {2,1,1}, gridDim: {1,1,1}: 
156094 nanoseconds with blockDim: {2,1,1}, gridDim: {2,1,1}: 
133743 nanoseconds with blockDim: {2,1,1}, gridDim: {4,1,1}: 
122000 nanoseconds with blockDim: {2,1,1}, gridDim: {8,1,1}: 
117058 nanoseconds with blockDim: {2,1,1}, gridDim: {16,1,1}: 
113578 nanoseconds with blockDim: {2,1,1}, gridDim: {32,1,1}: 
111656 nanoseconds with blockDim: {2,1,1}, gridDim: {64,1,1}: 
113156 nanoseconds with blockDim: {2,1,1}, gridDim: {128,1,1}: 
112283 nanoseconds with blockDim: {2,1,1}, gridDim: {256,1,1}: 
111885 nanoseconds with blockDim: {2,1,1}, gridDim: {512,1,1}: 
112435 nanoseconds with blockDim: {2,1,1}, gridDim: {1024,1,1}: 
156681 nanoseconds with blockDim: {4,1,1}, gridDim: {1,1,1}: 
135496 nanoseconds with blockDim: {4,1,1}, gridDim: {2,1,1}: 
127594 nanoseconds with blockDim: {4,1,1}, gridDim: {4,1,1}: 
117327 nanoseconds with blockDim: {4,1,1}, gridDim: {8,1,1}: 
113683 nanoseconds with blockDim: {4,1,1}, gridDim: {16,1,1}: 
111835 nanoseconds with blockDim: {4,1,1}, gridDim: {32,1,1}: 
111561 nanoseconds with blockDim: {4,1,1}, gridDim: {64,1,1}: 
112151 nanoseconds with blockDim: {4,1,1}, gridDim: {128,1,1}: 
111601 nanoseconds with blockDim: {4,1,1}, gridDim: {256,1,1}: 
111854 nanoseconds with blockDim: {4,1,1}, gridDim: {512,1,1}: 
113665 nanoseconds with blockDim: {4,1,1}, gridDim: {1024,1,1}: 
133684 nanoseconds with blockDim: {8,1,1}, gridDim: {1,1,1}: 
121812 nanoseconds with blockDim: {8,1,1}, gridDim: {2,1,1}: 
117535 nanoseconds with blockDim: {8,1,1}, gridDim: {4,1,1}: 
114184 nanoseconds with blockDim: {8,1,1}, gridDim: {8,1,1}: 
111621 nanoseconds with blockDim: {8,1,1}, gridDim: {16,1,1}: 
111614 nanoseconds with blockDim: {8,1,1}, gridDim: {32,1,1}: 
110428 nanoseconds with blockDim: {8,1,1}, gridDim: {64,1,1}: 
111719 nanoseconds with blockDim: {8,1,1}, gridDim: {128,1,1}: 
112028 nanoseconds with blockDim: {8,1,1}, gridDim: {256,1,1}: 
112418 nanoseconds with blockDim: {8,1,1}, gridDim: {512,1,1}: 
112151 nanoseconds with blockDim: {8,1,1}, gridDim: {1024,1,1}: 
121660 nanoseconds with blockDim: {16,1,1}, gridDim: {1,1,1}: 
116635 nanoseconds with blockDim: {16,1,1}, gridDim: {2,1,1}: 
113597 nanoseconds with blockDim: {16,1,1}, gridDim: {4,1,1}: 
111706 nanoseconds with blockDim: {16,1,1}, gridDim: {8,1,1}: 
111832 nanoseconds with blockDim: {16,1,1}, gridDim: {16,1,1}: 
111824 nanoseconds with blockDim: {16,1,1}, gridDim: {32,1,1}: 
112033 nanoseconds with blockDim: {16,1,1}, gridDim: {64,1,1}: 
111984 nanoseconds with blockDim: {16,1,1}, gridDim: {128,1,1}: 
111539 nanoseconds with blockDim: {16,1,1}, gridDim: {256,1,1}: 
111649 nanoseconds with blockDim: {16,1,1}, gridDim: {512,1,1}: 
